rowLabel	maxf0	minf0	excursion_size	meanf0	finalf0	mean_intensity	duration	max_velocity	final_velocity	maxf0_loc_ms	maxf0_loc_ratio
p1_ti_H1	142.16724394780954	141.3674470390326	0.0976698342278235	141.54429394674239	141.4682137195692	78.25939391943467	37.67003226839738	3.6131509456788033	3.6125433656323502	0	0
p2_ti_H1	145.03865280747382	138.9157651354132	0.7467251281323914	141.6534584063623	143.32442198529623	79.44893387006	49.114092704366065	-5.829118936479455	-3.720539379303233	0	0
p1_ti_H2	134.13571200548765	131.82964200083202	0.30022308563540623	132.77007671653473	133.30335445280727	76.17991972487036	39.10053982289341	-12.219221164606598	-2.9727291031813916	0	0
p2_ti_H2	137.97318887222113	134.54132418521272	0.4360630224867048	136.20288882678523	136.4589059557003	77.37406398879037	49.59092855586489	5.578434838479746	4.028936821961061	0	0
p1_ku_H1	139.34639576029443	137.79779885611123	0.19347412961066546	138.78352403826142	139.1089092922733	76.94675274832697	40.05421152588973	7.16366605088383	6.9256531833974435	0	0
p2_ku_H1	142.35640304700252	137.24277771454075	0.6333258586221095	140.07833468502866	141.21936108554803	78.69076912673032	40.05421152588973	-5.646987067530183	-4.774931645880969	0	0
p1_ku_H2	129.81580571579207	127.05493230063462	0.372164004739175	127.86046233282192	128.0991062373826	75.72700735864963	40.53104737739055	-23.532526799593047	-11.18367497668234	0	0
p2_ku_H2	130.5624571322738	126.56647767655072	0.538137235409474	129.09061716154548	130.23581799153547	79.46929006296808	40.53104737739055	4.723955725572993	3.793684109563503	0	0
p1_ke_H1	141.16702981259868	140.95063090708547	0.026558934731310657	141.00147670883774	141.01214710760692	77.28342456381698	38.22930020649906	26.075675404179165	17.83634209077782	0	0
p2_ke_H1	141.42029236234566	137.67635518154344	0.46450005116826976	140.2357520534645	141.0264634172207	78.37891801534175	40.14076521682597	-7.490133636859202	-7.10432257295225	0	0
p1_ke_H2	133.6801068595608	132.98906150665124	0.08972645242301613	133.5100400073947	133.53678017431076	75.71614886492328	40.140765216822416	-8.586726691447849	-0.11062356826231406	19.633034923906223	0.4891046500448452
p2_ke_H2	138.7524019976682	136.47235875802602	0.2868476501101114	137.07128716350087	137.53638131658357	78.07433904068958	40.140765216822416	12.437824676870955	12.328757210626124	0	0
p1_ko_L1	159.0325619595575	155.21361384383727	0.42080502667157216	157.75450376896407	154.859576438833	76.91515144303476	30.190245255969472	36.19053178352522	35.64060332357832	30.190245255969472	1
p2_ko_L1	155.25127613667587	123.36747732928902	3.9797161452978314	139.64503690857947	157.45769250678694	76.43734638927258	28.671975154875184	-64.22521417610477	-63.925295178929325	0	0
p1_ko_L2	135.84168556674626	133.98193533040617	0.2386532288904295	134.97327994436736	134.56770101966436	77.95056690393277	40.140765216822416	-11.942618738531051	-9.48361748943715	40.140765216822416	1
p2_ko_L2	131.69088435023573	112.22600138647888	2.7689821947114197	120.75196504747291	134.00563923931458	75.29460028466032	29.946285161756236	-0.824827734915363	-0.8249651413920776	0	0
p1_ki_H1	143.03761242904687	139.95517654093314	0.37715653735099597	141.07717708602573	141.5869376228704	76.37983048666736	29.309130158317487	45.86114179133061	45.85748301282874	0	0
p2_ki_H1	151.84434406271487	142.18300369819852	1.1381298425804065	145.17738672623676	147.18784258127752	79.36616511582412	38.86645520993781	-10.00273713102139	-5.830614294308825	0	0
p1_ki_H2	133.42116103598823	132.1523984204173	0.165418707805145	133.091393220182	132.71794589216395	75.61078557308275	38.866455209941364	-26.843783723328446	-19.526261155620897	38.866455209941364	1
p2_ki_H2	129.99117925256814	129.80614091050776	0.024661126768023678	129.87595809173152	129.91724059993786	76.48107869808481	40.140765216822416	6.243479216604664	6.207628714051812	1.0810280544966133	0.026930927914736665
p1_ta_L1	165.50301668407695	161.44653667554294	0.4296122516987726	162.97616649773622	161.94545316351252	77.66861482858931	40.77792022026472	55.649876732974775	19.10452812263474	40.77792022026472	1
p2_ta_L1	147.1301404583945	137.30444960604626	1.1965733017874332	141.28268535892408	152.39500191164655	81.15093370593593	15.29933588353316	-0.9667194749169519	-1.1110460186877997	0	0
p1_ta_L2	139.31839774981808	137.9878043414662	0.16614026484953648	138.33145038030383	137.92953280673714	75.56362354314112	35.131849030832996	-26.436326542960973	-23.443994213150553	35.131849030832996	1
p2_ta_L2	132.27290097583034	124.83986822079723	1.001265413704326	129.70284389455264	135.32630226103933	80.5654600434811	20.24912102233145	1.440253282372114	1.3362964454158535	0	0
p1_kee_H1	145.25042135359706	139.7818930097469	0.6643783072768734	140.57925816977075	143.68940139073186	76.38031909735008	30.598671767073427	17.63867455783776	17.13507850569989	0	0
p2_kee_H1	139.44753154373407	138.52315202901045	0.1151433071101593	139.21726722235084	139.3841247886301	77.08579008989848	40.048261577489086	-6.650099798278246	-5.259670361523374	9.46443923473339	0.23632584441700963
p1_kee_H2	128.90833876123813	126.58282191301937	0.3151674702128613	126.89552465934881	126.93971198513066	74.21952515074297	40.4982420446629	-25.85110539999982	-14.886419573409107	0	0
p2_kee_H2	128.1954765040306	124.45731738085462	0.5123316116178533	125.8313691493858	125.92959870387062	76.16141675905615	49.94783185507856	6.3521356710904815	5.900728548956326	0	0
p1_too_L1	155.83746574859154	154.15751424964625	0.18764289074015483	154.78825817320902	154.04050872657848	76.05753403618964	30.148691299906716	38.359467470713724	37.748100665385614	30.148691299906716	1
p2_too_L1	140.75180362562122	108.1494059672878	4.561532021063648	126.4681122287958	132.16226830270247	79.35370135537211	40.4982420446558	-91.76606264485856	-61.59574495006356	0	0
