word	dur_y	dur_m

ka_H1	136.45391442190834	145.08501103837722
ka_H2	127.75074776154999	112.33685718351715

ke_H1	115.69556834001428	154.28071015684117
ke_H2	94.23836589129564	114.5354106777521

kee_H1	150.96352533983367	148.87406956228423
kee_H2	119.41203045931663	97.56455781961319

ki_H1	90.6022262751435	85.67577597809658
ki_H2	100.21917669098782	88.25163966102883

ki_L1	76.10828975852264	117.99085911113701
ki_L2	85.34008175363388	100.86504895805889

ko_H1	116.91133197195029	148.81324202452657
ko_H2	115.17837101170433	105.23788888063459

ko_L1	92.83090440761843	96.83844350701509
ko_L2	82.77248634366163	100.60555015657057

koo_H1	138.1934375644562	155.10099163566304
koo_H2	125.84241882104725	162.1001316383725

koo_L1	91.07526715623132	104.49442813261743
koo_L2	75.9537896468117	142.9810314258777

koo_M1	117.98920530658444	132.7651719868388
koo_M2	107.84067253300306	111.79933601180268

ku_H1	78.93969923023717	150.65612152720166
ku_H2	82.26705739520878	139.89401274294178

ku_L1	79.09996514554784	116.74952234563365
ku_L2	66.83810879424234	85.61077965513216

ta_L1	94.8967508905522	103.40979360396373
ta_L2	111.32892385419224	89.74185400982432

tee_H1	148.1937867680876	152.8737012934754
tee_H2	144.00263665984704	179.93205936371038

tee_L1	105.30867824141346	101.4676712061916
tee_L2	121.29057771617107	115.81951738174277

ti_H1	120.54749263874695	122.56089237041623
ti_H2	87.30144140570681	118.54201509453974

ti_L1	92.37683605585273	69.10361614807114
ti_L2	93.38481591204965	91.44081876224736

ti_M1	140.0005174027283	137.63735936588225
ti_M2	136.31637969996137	144.75643772229702

to_H1	143.64950962202778	175.83124255151472
to_H2	119.53310030389129	121.34125778064418

to_L1	121.85675108405084	106.61732384798869
to_L2	99.8512457608287	93.00673632265868

too_H1	155.095002840591	147.4187689761797
too_H2	114.41308822034063	157.39906041105095

too_L1	98.73328996731075	135.03681059677027
too_L2	105.04835503021735	129.4263361002283

tu_H1	109.37504900054023	137.13842862141396
tu_H2	112.573336212792	112.059867166896

tu_L1	52.499307254581794	103.4371774440155
tu_L2	50.47045375733678	86.72566826402154

tu_M1	129.3013973505871	119.95337952236659
tu_M2	93.76295320995784	99.32231969897859
