rowLabel	maxf0	minf0	excursion_size	meanf0	finalf0	mean_intensity	duration	max_velocity	final_velocity	maxf0_loc_ms	maxf0_loc_ratio
p1_ti_H1	148.4919398080159	147.37669651345837	0.1305144291608924	147.84219944206214	147.9326376814851	77.69796866590043	40.44481203621197	-1.046604304965726	-1.0441843517428304	0	0
p2_ti_H1	147.60024356777558	145.30449236563058	0.2713895374133557	146.80514188572755	147.41877281007618	75.28117604165234	50.91288103381997	-6.9800044679965305	-5.273321606994951	12.364597117554776	0.2428579343082417
p1_ti_H2	138.75402709750293	133.96444394106325	0.6081540480708831	134.92290195976537	134.69030128678443	75.19018891145863	48.53377444345419	-23.236634151134933	-1.1243889714466917	0	0
p2_ti_H2	139.79360500734848	135.32799037544365	0.5620571611936924	137.56880739620266	137.64254426168523	69.52533568668655	59.95348607720885	3.8706487328433896	0.2834161686238787	0	0
p1_ku_H1	141.14881539886062	138.35251298818676	0.3464180653335456	138.8013860972192	138.80568324178822	75.10535482254302	49.48541707959997	1.5415683406516552	-0.13974046456913936	0	0
p2_ku_H1	137.749843446101	132.97943758200688	0.6101699764338182	134.90123953615958	134.4799099149779	70.31510965783028	59.95348607720885	-11.131284483004816	-8.636993331179232	0	0
p1_ku_H2	132.74638322801735	131.79374750730798	0.12468751115952603	132.46886492115556	132.60714865617095	74.01950389563696	49.961238397674634	-2.6369096453408356	-1.5970747103489553	0	0
p2_ku_H2	131.3780936821306	128.65495763555157	0.36261222727442544	130.03742583965536	130.1937761741453	70.54101870383332	59.95348607720885	-6.560074845631331	-0.25065450969581327	0	0
p1_ke_H1	137.01764642488124	133.51712063211218	0.44804353638969996	135.79367251309216	136.48783314886896	73.41017436789073	39.49316940006753	18.18055760532825	15.959260308433796	0	0
p2_ke_H1	142.75488946524683	135.91764262829318	0.8496890913131638	138.5472428956868	137.8567529225324	73.18002247647311	59.00184344106307	-6.260158333425769	-3.4859173323229427	0	0
p1_ke_H2	132.84926821944327	130.64050850292222	0.2902556331935342	132.00218040333198	132.22029158586133	74.39976025679391	59.95348607720885	-10.631160129379907	-1.3987973214786171	0	0
p2_ke_H2	134.05166038426466	129.65549989707824	0.5772681990172108	131.232302965687	131.2638595131729	72.16884858786595	59.47766475913596	-2.7845733067473217	0.4767429555004252	0	0
p1_ko_L1	142.32600171500738	139.7538666142231	0.315732655000839	140.20828410134396	140.04308919212536	74.25683858626356	50.43705971574752	17.1583529818225	3.3733097614088616	0	0
p2_ko_L1	138.1511235925033	125.68575478242276	1.6371138203958515	131.67348460734829	138.14101311166954	77.58944732947019	29.9767430386062	-10.780651716400287	-10.779867273667632	0	0
p1_ko_L2	137.95394220029362	136.37443869326327	0.19936110590731282	137.55787245376476	137.87402900071675	70.87450775916716	39.49316940006398	-3.38584246809866	-2.854029558694543	0	0
p2_ko_L2	128.63215830574512	112.68568447770102	2.291365397667774	121.81721610373582	129.4938999725682	75.59175444016786	29.9767430386062	-5.251587243154999	-5.251309462932161	0	0
p1_ki_H1	139.4420701893022	138.12956509322697	0.1637249746284395	138.8915745177537	139.15911136619286	71.54669909849238	59.47766475913596	30.364226955743526	4.023937345305363	0	0
p2_ki_H1	142.49513413282966	136.26674569160198	0.7737494799331666	138.4163313079758	137.44660886914912	70.05090783250995	69.46991243867018	-9.077776282236089	-6.608527962138047	0	0
p1_ki_H2	132.9764376246687	130.96983874456973	0.26323229701559026	132.45066254849203	132.90276342921194	71.88696022566423	49.96123839767819	-10.087185167301486	-6.97381639909794	0	0
p2_ki_H2	130.6982886737855	129.1490739796324	0.20643542267070458	129.90770971101404	130.44202177494034	66.82521940153012	49.96123839767819	-3.0146075571667104	0.022645724320320915	0	0
p1_ta_L1	138.67511082836785	136.6946746919359	0.24902206173066155	138.1389972630909	138.55715757021432	70.56981445603572	49.485417079601746	14.691135357559494	-1.50101105183282	22.531109842987007	0.4553080720072277
p2_ta_L1	128.3812331477448	113.92192629300985	2.068666533378652	122.30300266203987	125.20218344199051	70.34925321279636	50.43705971574752	-46.12503243049904	-19.417979610733443	0	0
p1_ta_L2	132.70551871116723	130.9943852851519	0.2246807059100293	132.27426962886742	132.4529317123013	74.79480986090255	49.96123839767108	31.666940873946483	4.4537016024871985	32.42519713603542	0.6490070738027764
p2_ta_L2	124.2464720668205	118.49523042780508	0.8205107693780596	119.34842734207254	119.42485632115881	71.95374747152755	39.968990718136865	-0.43235138173038823	-0.1874340539930421	0	0
p1_kee_H1	144.340881289812	138.4914019413757	0.7162026868127	142.2309314168154	143.73913832481202	74.79653387903839	39.96899071814397	44.94533757133049	25.4683788243131	0	0
p2_kee_H1	145.57986636691618	140.10942759078821	0.6630817329526781	141.74009690636555	141.3992853411099	75.94724554480689	79.93798143628084	-5.414610990642268	-4.417496721898948	0	0
p1_kee_H2	136.3020963794004	133.38873477680517	0.3740510561371062	135.0411287058558	135.98727046646584	69.53576316019931	40.42428914586793	-14.439097438111633	-10.872680066769751	0	0
p2_kee_H2	136.20578221029092	132.48026291832605	0.48012610634515784	133.210106377761	133.1344349955849	70.51767681572193	59.973740454111635	-3.513911025324196	0.8005731328583656	0	0
p1_too_L1	145.78401184010943	143.58677829291443	0.2629151779672929	144.70533873056715	145.1724553755273	79.77025656672222	40.09294251352458	18.929046522686335	2.6311345957834193	0	0
p2_too_L1	139.11981351381456	110.99093989069598	3.91063186351803	125.35191906568548	123.83098623794166	81.34364389244351	63.36506964744615	-54.03603742174648	-17.782201382121784	0	0
