	1.5523966297984595
ti_H1	0.22552165775174982
ti_H2	0.20723264814152031
ku_H1	0.20653795377714346
ku_H2	0.19633290590288155
ke_H1	0.1748086147872261
ke_H2	0.18740677060323918
ko_L1	0.20250970087620956
ko_L2	0.165331148636497
ki_H1	0.16112186314161647
ki_H2	0.18234550725868104
ta_L1	0.13601286855507055
ta_L2	0.14538926059690738
ke~_H1	0.20511840931945358
ke~_H2	0.18904954777966054
to~_L1	0.15602392482542626
to~_L2	0.1430823548875324
ka_H1	0.22028483781488717
ka_H2	0.22461322033673525
te~_L1	0.16963320937561832
te~_L2	0.183112736642272
ku_L1	0.16660948598186565
ku_L2	0.1721493336041533
ki_L1	0.16526242555048043
ki_L2	0.17702718111971194
tu_L1	0.17394864022607237
tu_L2	0.1739287326807215
tu_M1	0.2554234039808563
tu_M2	0.23707725605058272
ko_H1	0.20840666511679729
ko_H2	0.22139245641035643
to_H1	0.16421958589494068
to_H2	0.16128572072837244
ko~_M1	0.22937726004587944
ko~_M2	0.20956863264619585
to_L1	0.1437689149584287
to_L2	0.12230047535800281
te~_H1	0.2003037127268783
te~_H2	0.18147776899687074
ko~_L1	0.1553970078793725
ko~_L2	0.16402755150085113
to~_H1	0.17332998821822798
tu_H1	0.21938304421965427
tu_H2	0.2274661317366622
ti_L1	0.1891846815621534
ti_L2	0.18431594572089693
ko~_H1	0.20487569900706148
ko~_H2	0.19173599620344817
ala_LH1	0.4292300323070606
ala_LH2	0.4263713396217952
rara_HL1	0.4971107081496484
rara_HL2	0.5422687022575303
ma_LH1	0.49467313332374374
ma_LH2	0.465841766576375
we~ko~_LH1	0.6689986200659348
we~ko~_LH2	0.5016935803068066
muwe_LH1	0.5418293225547188
muwe_LH2	0.5151410285610609
